Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9UH65	Q9UH65	SWP70_HUMAN	SWAP70	Switch-associated protein 70	1.87737e+06
Q9UH99;Q9UH99-2;Q9UH99-3	Q9UH99;Q9UH99-2;Q9UH99-3	SUN2_HUMAN	SUN2	SUN domain-containing protein 2	325503
Q9UHA2	Q9UHA2	S18L2_HUMAN	SS18L2	SS18-like protein 2	24573
Q9UHA3	Q9UHA3	RLP24_HUMAN	RSL24D1	Probable ribosome biogenesis protein RLP24	250577
Q9UHA4;Q9UHA4-2	Q9UHA4;Q9UHA4-2	LTOR3_HUMAN	LAMTOR3	Ragulator complex protein LAMTOR3	795534
Q9UHB4;Q9UHB4-2;Q9UHB4-3;Q9UHB4-4	Q9UHB4;Q9UHB4-2;Q9UHB4-3;Q9UHB4-4	NDOR1_HUMAN	NDOR1	NADPH-dependent diflavin oxidoreductase 1	340367
Q9UHB6;Q9UHB6-4	Q9UHB6;Q9UHB6-2;Q9UHB6-4;Q9UHB6-5	LIMA1_HUMAN	LIMA1	LIM domain and actin-binding protein 1	2.17695e+06
Q9UHB7	Q9UHB7;Q9UHB7-2;Q9UHB7-3	AFF4_HUMAN	AFF4	AF4/FMR2 family member 4	901654
Q9UHB9	Q9UHB9;Q9UHB9-4	SRP68_HUMAN	SRP68	Signal recognition particle subunit SRP68	3.01469e+06
Q9UHC7;Q9UHC7-2;Q9UHC7-3;Q9UHC7-4	Q9UHC7;Q9UHC7-2;Q9UHC7-3;Q9UHC7-4	MKRN1_HUMAN	MKRN1	E3 ubiquitin-protein ligase makorin-1	174529
Q9UHD1	Q9UHD1;Q9UHD1-2	CHRD1_HUMAN	CHORDC1	Cysteine and histidine-rich domain-containing protein 1	3.04051e+06
Q9UHD2	Q9UHD2	TBK1_HUMAN	TBK1	Serine/threonine-protein kinase TBK1	885259
Q9UHD8	Q9UHD8;Q9UHD8-2;Q9UHD8-3;Q9UHD8-4;Q9UHD8-5;Q9UHD8-7;Q9UHD8-8;Q9UHD8-9	SEPT9_HUMAN	SEPTIN9	Septin-9	5.88392e+06
Q9UHD9	Q9UHD9	UBQL2_HUMAN	UBQLN2	Ubiquilin-2	742690
Q9UHD9;Q9UMX0	Q9UHD9;Q9UMX0;Q9UMX0-2	UBQL1_HUMAN;UBQL2_HUMAN	UBQLN1;UBQLN2	Ubiquilin-2	1.60629e+06
Q9UHG3	Q9UHG3;Q9UHG3-2	PCYOX_HUMAN	PCYOX1	Prenylcysteine oxidase 1	3.77741e+06
Q9UHI6	Q9UHI6	DDX20_HUMAN	DDX20	Probable ATP-dependent RNA helicase DDX20	1.78748e+06
Q9UHJ6	Q9UHJ6	SHPK_HUMAN	SHPK	Sedoheptulokinase	18376
Q9UHK6;Q9UHK6-5	Q9UHK6;Q9UHK6-5	AMACR_HUMAN	AMACR	Alpha-methylacyl-CoA racemase	291468
Q9UHL4	Q9UHL4	DPP2_HUMAN	DPP7	Dipeptidyl peptidase 2	569211
Q9UHL9;Q9UHL9-2;Q9UHL9-3	Q9UHL9;Q9UHL9-2;Q9UHL9-3	GT2D1_HUMAN	GTF2IRD1	General transcription factor II-I repeat domain-containing protein 1	271740
Q9UHN1	Q9UHN1	DPOG2_HUMAN	POLG2	DNA polymerase subunit gamma-2, mitochondrial	138671
Q9UHN6;Q9UHN6-2	Q9UHN6;Q9UHN6-2	CEIP2_HUMAN	CEMIP2	Cell surface hyaluronidase	310067
Q9UHP3	Q9UHP3;Q9UHP3-1;Q9UHP3-3	UBP25_HUMAN	USP25	Ubiquitin carboxyl-terminal hydrolase 25	312627
Q9UHQ1;Q9UHQ1-2;Q9UHQ1-3;Q9UHQ1-4	Q9UHQ1;Q9UHQ1-2;Q9UHQ1-3;Q9UHQ1-4	NARF_HUMAN	NARF	Nuclear prelamin A recognition factor	59916
Q9UHQ4;Q9UHQ4-2	Q9UHQ4;Q9UHQ4-2	BAP29_HUMAN	BCAP29	B-cell receptor-associated protein 29	167033
Q9UHQ9	Q9UHQ9	NB5R1_HUMAN	CYB5R1	NADH-cytochrome b5 reductase 1	1.02785e+06
Q9UHR4	Q9UHR4	BI2L1_HUMAN	BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1	643977
Q9UHR5;Q9UHR5-2	Q9UHR5;Q9UHR5-2	S30BP_HUMAN	SAP30BP	SAP30-binding protein	312588
Q9UHR6	Q9UHR6	ZNHI2_HUMAN	ZNHIT2	Zinc finger HIT domain-containing protein 2	288901
Q9UHV7	Q9UHV7	MED13_HUMAN	MED13	Mediator of RNA polymerase II transcription subunit 13	96349
Q9UHV9	Q9UHV9	PFD2_HUMAN	PFDN2	Prefoldin subunit 2	1.14582e+06
Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6	Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6	S12A6_HUMAN	SLC12A6	Solute carrier family 12 member 6	379349
Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;Q9UP95;Q9UP95-2;Q9UP95-5;Q9UP95-6	Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;Q9UP95;Q9UP95-2;Q9UP95-5;Q9UP95-6;Q9UP95-7;Q9H2X9;Q9H2X9-2	S12A4_HUMAN;S12A6_HUMAN	SLC12A4;SLC12A6	Solute carrier family 12 member 6	225816
Q9UHX1;Q9UHX1-2	Q9UHX1;Q9UHX1-2;Q9UHX1-3;Q9UHX1-4;Q9UHX1-5;Q9UHX1-6	PUF60_HUMAN	PUF60	Poly(U)-binding-splicing factor PUF60	2.76445e+06
