Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
P69905	P69905	HBA_HUMAN	HBA1	Hemoglobin subunit alpha	2.03387e+06
P78310	P78310;P78310-2;P78310-6	CXAR_HUMAN	CXADR	Coxsackievirus and adenovirus receptor	179093
P78312;P78312-2;P78312-6	P78312;P78312-2;P78312-3;P78312-6	F193A_HUMAN	FAM193A	Protein FAM193A	50307
P78316	P78316;P78316-2	NOP14_HUMAN	NOP14	Nucleolar protein 14	143706
P78318	P78318	IGBP1_HUMAN	IGBP1	Immunoglobulin-binding protein 1	130291
P78330	P78330	SERB_HUMAN	PSPH	Phosphoserine phosphatase	535217
P78332	P78332;P78332-2	RBM6_HUMAN	RBM6	RNA-binding protein 6	86759
P78344	P78344;P78344-2	IF4G2_HUMAN	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	387494
P78345	P78345	RPP38_HUMAN	RPP38	Ribonuclease P protein subunit p38	116040
P78346;P78346-2	P78346;P78346-2	RPP30_HUMAN	RPP30	Ribonuclease P protein subunit p30	106700
P78347;P78347-2;P78347-3;P78347-4	P78347;P78347-2;P78347-3;P78347-4;P78347-5	GTF2I_HUMAN	GTF2I	General transcription factor II-I	513380
P78356	P78356;P78356-2	PI42B_HUMAN	PIP4K2B	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	52680
P78357	P78357	CNTP1_HUMAN	CNTNAP1	Contactin-associated protein 1	249975
P78362;P78362-2	P78362;P78362-2	SRPK2_HUMAN	SRPK2	SRSF protein kinase 2	73662
P78362;P78362-2;Q96SB4;Q96SB4-3;Q96SB4-4	Q96SB4;Q96SB4-3;Q96SB4-4;P78362;P78362-2	SRPK1_HUMAN;SRPK2_HUMAN	SRPK1;SRPK2	SRSF protein kinase 2	89105
P78364	P78364	PHC1_HUMAN	PHC1	Polyhomeotic-like protein 1	121033
P78368	P78368	KC1G2_HUMAN	CSNK1G2	Casein kinase I isoform gamma-2	6777
P78368;Q9HCP0;Q9HCP0-2;Q9Y6M4;Q9Y6M4-2;Q9Y6M4-3;Q9Y6M4-4	Q9HCP0;Q9HCP0-2;Q9Y6M4;Q9Y6M4-2;Q9Y6M4-3;Q9Y6M4-4;Q9Y6M4-5;Q9Y6M4-6;P78368	KC1G1_HUMAN;KC1G2_HUMAN;KC1G3_HUMAN	CSNK1G1;CSNK1G2;CSNK1G3	Casein kinase I isoform gamma-2	55075
P78368;Q9Y6M4;Q9Y6M4-2;Q9Y6M4-3;Q9Y6M4-4	Q9Y6M4;Q9Y6M4-2;Q9Y6M4-3;Q9Y6M4-4;Q9Y6M4-5;Q9Y6M4-6;P78368	KC1G2_HUMAN;KC1G3_HUMAN	CSNK1G2;CSNK1G3	Casein kinase I isoform gamma-2	69309
P78371	P78371;P78371-2	TCPB_HUMAN	CCT2	T-complex protein 1 subunit beta	2.258e+06
P78382;P78382-2	P78382;P78382-2	S35A1_HUMAN	SLC35A1	CMP-sialic acid transporter	8540
P78383;P78383-2	P78383;P78383-2	S35B1_HUMAN	SLC35B1	Solute carrier family 35 member B1	22128
P78386	O43790;A6NCN2;P78385;P78386;Q14533	KRT85_HUMAN	KRT85	Keratin, type II cuticular Hb5	3.53412e+06
P78406	P78406	RAE1L_HUMAN	RAE1	mRNA export factor	270361
P78417;P78417-3	P78417;P78417-3	GSTO1_HUMAN	GSTO1	Glutathione S-transferase omega-1	1.19276e+06
P78423	P78423	X3CL1_HUMAN	CX3CL1	Fractalkine	21115
P78424;P78424-2	P78424;P78424-2	PO6F2_HUMAN	POU6F2	POU domain, class 6, transcription factor 2	105336
P78524	P78524;P78524-2;P78524-3	DEN2B_HUMAN	DENND2B	DENN domain-containing protein 2B	24300
P78527	P78527;P78527-2	PRKDC_HUMAN	PRKDC	DNA-dependent protein kinase catalytic subunit	1.84329e+06
P78536	P78536;P78536-2	ADA17_HUMAN	ADAM17	Disintegrin and metalloproteinase domain-containing protein 17	91404
P78537;P78537-2	P78537;P78537-2	BL1S1_HUMAN	BLOC1S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	56587
P78540	P78540	ARGI2_HUMAN	ARG2	Arginase-2, mitochondrial	49825
P78549;P78549-2;P78549-3	P78549;P78549-2;P78549-3	NTH_HUMAN	NTHL1	Endonuclease III-like protein 1	68815
P78559;P78559-2	P78559;P78559-2	MAP1A_HUMAN	MAP1A	Microtubule-associated protein 1A	336758
P78560	P78560;P78560-2	CRADD_HUMAN	CRADD	Death domain-containing protein CRADD	39881
P78563;P78563-3;P78563-5	P78563;P78563-2;P78563-3;P78563-4;P78563-5;P78563-6	RED1_HUMAN	ADARB1	Double-stranded RNA-specific editase 1	76640
P80188;P80188-2	P80188;P80188-2	NGAL_HUMAN	LCN2	Neutrophil gelatinase-associated lipocalin	26554
P80217;P80217-2	P80217;P80217-2	IN35_HUMAN	IFI35	Interferon-induced 35 kDa protein	89159
P80303;P80303-2	P80303;P80303-2	NUCB2_HUMAN	NUCB2	Nucleobindin-2	256372
P80723	P80723;P80723-2	BASP1_HUMAN	BASP1	Brain acid soluble protein 1	4.37621e+06
P82094;P82094-2	P82094;P82094-2	TMF1_HUMAN	TMF1	TATA element modulatory factor	125880
P82650	P82650;P82650-2	RT22_HUMAN	MRPS22	28S ribosomal protein S22, mitochondrial	348483
P82663	P82663;P82663-2;P82663-3	RT25_HUMAN	MRPS25	28S ribosomal protein S25, mitochondrial	178349
P82664	P82664	RT10_HUMAN	MRPS10	28S ribosomal protein S10, mitochondrial	164716
P82673	P82673;P82673-2	RT35_HUMAN	MRPS35	28S ribosomal protein S35, mitochondrial	672872
P82675	P82675;P82675-2	RT05_HUMAN	MRPS5	28S ribosomal protein S5, mitochondrial	533018
P82909	P82909	RT36_HUMAN	MRPS36	28S ribosomal protein S36, mitochondrial	226676
P82912;P82912-2	P82912;P82912-2	RT11_HUMAN	MRPS11	28S ribosomal protein S11, mitochondrial	187106
P82914	P82914	RT15_HUMAN	MRPS15	28S ribosomal protein S15, mitochondrial	162355
P82921	P82921	RT21_HUMAN	MRPS21	28S ribosomal protein S21, mitochondrial	91140
P82930	P82930	RT34_HUMAN	MRPS34	28S ribosomal protein S34, mitochondrial	450989
P82932	P82932	RT06_HUMAN	MRPS6	28S ribosomal protein S6, mitochondrial	507940
P82933	P82933	RT09_HUMAN	MRPS9	28S ribosomal protein S9, mitochondrial	147160
P82970	P82970	HMGN5_HUMAN	HMGN5	High mobility group nucleosome-binding domain-containing protein 5	687652
P82979	P82979	SARNP_HUMAN	SARNP	SAP domain-containing ribonucleoprotein	842123
P83111	P83111;P83111-2	LACTB_HUMAN	LACTB	Serine beta-lactamase-like protein LACTB, mitochondrial	69487
P83369	P83369	LSM11_HUMAN	LSM11	U7 snRNA-associated Sm-like protein LSm11	92611
P83436	P83436	COG7_HUMAN	COG7	Conserved oligomeric Golgi complex subunit 7	165192
P83731	P83731	RL24_HUMAN	RPL24	60S ribosomal protein L24	1.16899e+06
P83876	P83876	TXN4A_HUMAN	TXNL4A	Thioredoxin-like protein 4A	314084
P83916	P83916	CBX1_HUMAN	CBX1	Chromobox protein homolog 1	143199
P83916;Q13185	P83916;Q13185	CBX1_HUMAN;CBX3_HUMAN	CBX1;CBX3	Chromobox protein homolog 1	257462
P84077	P84077;P61204;P61204-2	ARF1_HUMAN	ARF1	ADP-ribosylation factor 1	1.57052e+06
P84077;P84085	P84077;P61204;P61204-2;P84085	ARF1_HUMAN;ARF5_HUMAN	ARF1;ARF5	ADP-ribosylation factor 1	31322
P84085	P84085	ARF5_HUMAN	ARF5	ADP-ribosylation factor 5	202590
P84090	P84090	ERH_HUMAN	ERH	Enhancer of rudimentary homolog	931669
P84095	P84095	RHOG_HUMAN	RHOG	Rho-related GTP-binding protein RhoG	234023
P84098	P84098	RL19_HUMAN	RPL19	60S ribosomal protein L19	1.33853e+06
P84101;P84101-2;P84101-3;P84101-4	P84101;P84101-2;P84101-3;P84101-4	SERF2_HUMAN	SERF2	Small EDRK-rich factor 2	31734
P84103;P84103-2	P84103;P84103-2	SRSF3_HUMAN	SRSF3	Serine/arginine-rich splicing factor 3	1.58523e+06
P84103;P84103-2;Q16629;Q16629-2;Q16629-3;Q16629-4	P84103;P84103-2;Q16629;Q16629-2;Q16629-3;Q16629-4	SRSF3_HUMAN;SRSF7_HUMAN	SRSF3;SRSF7	Serine/arginine-rich splicing factor 3	1.78168e+06
P84157;P84157-2;P84157-3	P84157;P84157-2;P84157-3	MXRA7_HUMAN	MXRA7	Matrix-remodeling-associated protein 7	36837
P85037	P85037;P85037-2	FOXK1_HUMAN	FOXK1	Forkhead box protein K1	665196
P86397	P86397	HTD2_HUMAN	HTD2	Hydroxyacyl-thioester dehydratase type 2, mitochondrial	13716
P86790;P86791	P86791;P86790	CCZ1B_HUMAN;CCZ1_HUMAN	CCZ1;CCZ1B	Vacuolar fusion protein CCZ1 homolog B	237734
P98082;P98082-2;P98082-3	P98082;P98082-2;P98082-3	DAB2_HUMAN	DAB2	Disabled homolog 2	149087
P98088	P98088	MUC5A_HUMAN	MUC5AC	Mucin-5AC	1.55389e+06
P98155;P98155-2	P98155;P98155-2	VLDLR_HUMAN	VLDLR	Very low-density lipoprotein receptor	183812
P98160	P98160	PGBM_HUMAN	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein	261697
P98170	P98170	XIAP_HUMAN	XIAP	E3 ubiquitin-protein ligase XIAP	84073
P98172	P98172	EFNB1_HUMAN	EFNB1	Ephrin-B1	2.67909e+06
P98175;P98175-2;P98175-5	P98175;P98175-2;P98175-3;P98175-4;P98175-5	RBM10_HUMAN	RBM10	RNA-binding protein 10	233007
P98179	P98179	RBM3_HUMAN	RBM3	RNA-binding protein 3	277398
P98194;P98194-2;P98194-3;P98194-4;P98194-5;P98194-6;P98194-7;P98194-9	P98194;P98194-2;P98194-3;P98194-4;P98194-5;P98194-6;P98194-7;P98194-8;P98194-9	AT2C1_HUMAN	ATP2C1	Calcium-transporting ATPase type 2C member 1	165087
P98196	P98196	AT11A_HUMAN	ATP11A	Probable phospholipid-transporting ATPase IH	23803
P98198;P98198-3	P98198;P98198-3	AT8B2_HUMAN	ATP8B2	Phospholipid-transporting ATPase ID	1.22368e+06
P99999	P99999	CYC_HUMAN	CYCS	Cytochrome c	1.40729e+06
Q00013;Q00013-2;Q00013-3	Q00013;Q00013-2;Q00013-3	EM55_HUMAN	MPP1	55 kDa erythrocyte membrane protein	152444
Q00059	Q00059;Q00059-2	TFAM_HUMAN	TFAM	Transcription factor A, mitochondrial	726076
Q00169	Q00169	PIPNA_HUMAN	PITPNA	Phosphatidylinositol transfer protein alpha isoform	103327
Q00266	Q00266	METK1_HUMAN	MAT1A	S-adenosylmethionine synthase isoform type-1	38730
Q00325;Q00325-2	Q00325;Q00325-2	MPCP_HUMAN	SLC25A3	Phosphate carrier protein, mitochondrial	3.40015e+06
Q00341	Q00341;Q00341-2	VIGLN_HUMAN	HDLBP	Vigilin	945840
Q00403	Q00403	TF2B_HUMAN	GTF2B	Transcription initiation factor IIB	143303
Q00534	Q00534	CDK6_HUMAN	CDK6	Cyclin-dependent kinase 6	101722
Q00535	Q00535;Q00535-2	CDK5_HUMAN	CDK5	Cyclin-dependent-like kinase 5	202436
Q00536;Q00536-2;Q00536-3	Q00536;Q00536-2;Q00536-3	CDK16_HUMAN	CDK16	Cyclin-dependent kinase 16	78127
Q00536;Q00536-2;Q00536-3;Q00537	Q00536;Q00536-2;Q00536-3;Q00537;Q00537-2	CDK16_HUMAN;CDK17_HUMAN	CDK16;CDK17	Cyclin-dependent kinase 16	51545
Q00537	Q00537	CDK17_HUMAN	CDK17	Cyclin-dependent kinase 17	41631
Q00577	Q00577	PURA_HUMAN	PURA	Transcriptional activator protein Pur-alpha	67608
Q00587;Q00587-2	Q00587;Q00587-2	BORG5_HUMAN	CDC42EP1	Cdc42 effector protein 1	176501
Q00610;Q00610-2	Q00610;Q00610-2;P53675;P53675-2	CLH1_HUMAN	CLTC	Clathrin heavy chain 1	2.21034e+06
Q00613;Q00613-2	Q00613;Q00613-2	HSF1_HUMAN	HSF1	Heat shock factor protein 1	101452
Q00653;Q00653-4	Q00653;Q00653-3;Q00653-4	NFKB2_HUMAN	NFKB2	Nuclear factor NF-kappa-B p100 subunit	221646
Q00688	Q00688	FKBP3_HUMAN	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	1.3728e+06
Q00722;Q00722-2;Q00722-3	Q00722;Q00722-2;Q00722-3	PLCB2_HUMAN	PLCB2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	227799
Q00765	Q00765	REEP5_HUMAN	REEP5	Receptor expression-enhancing protein 5	627364
Q00796	Q00796	DHSO_HUMAN	SORD	Sorbitol dehydrogenase	585311
Q00839	Q00839;Q00839-2	HNRPU_HUMAN	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	3.26658e+06
Q00839;Q9BUJ2;Q9BUJ2-2	Q9BUJ2;Q9BUJ2-2;Q9BUJ2-3;Q9BUJ2-4;Q00839;Q00839-2	HNRL1_HUMAN;HNRPU_HUMAN	HNRNPU;HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U	217149
Q00978	Q00978	IRF9_HUMAN	IRF9	Interferon regulatory factor 9	15298
Q01082	Q01082;Q01082-2;Q01082-3	SPTB2_HUMAN	SPTBN1	Spectrin beta chain, non-erythrocytic 1	636162
Q01085	Q01085;Q01085-2	TIAR_HUMAN	TIAL1	Nucleolysin TIAR	295884
Q01105	P0DME0;Q01105;Q01105-2;Q01105-3;Q01105-4	SET_HUMAN	SET	Protein SET	2.75406e+06
Q01130	Q01130;Q01130-2	SRSF2_HUMAN	SRSF2	Serine/arginine-rich splicing factor 2	214678
Q01130;Q9BRL6;Q9BRL6-2	Q9BRL6;Q9BRL6-2;Q01130;Q01130-2	SRSF2_HUMAN;SRSF8_HUMAN	SRSF2;SRSF8	Serine/arginine-rich splicing factor 2	808093
Q01167;Q01167-2	Q01167;Q01167-2	FOXK2_HUMAN	FOXK2	Forkhead box protein K2	30244
Q01201	Q01201	RELB_HUMAN	RELB	Transcription factor RelB	152224
Q01415;Q01415-2	Q01415;Q01415-2	GALK2_HUMAN	GALK2	N-acetylgalactosamine kinase	145634
Q01433;Q01433-2	Q01433;Q01433-2;Q01433-3;Q01433-4;Q01433-5	AMPD2_HUMAN	AMPD2	AMP deaminase 2	207873
Q01469	Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5	383895
Q01518;Q01518-2	Q01518;Q01518-2	CAP1_HUMAN	CAP1	Adenylyl cyclase-associated protein 1	819599
Q01546;Q9NSB2	Q9NSB2;Q01546;contaminant_KERATIN14	K22O_HUMAN;KRT84_HUMAN	KRT76;KRT84	Keratin, type II cytoskeletal 2 oral	795272
Q01628	Q01629;P13164;Q01628	IFM3_HUMAN	IFITM3	Interferon-induced transmembrane protein 3	637829
Q01650	Q01650	LAT1_HUMAN	SLC7A5	Large neutral amino acids transporter small subunit 1	1.66828e+06
Q01658	Q01658	NC2B_HUMAN	DR1	Protein Dr1	68821
Q01664	Q01664	TFAP4_HUMAN	TFAP4	Transcription factor AP-4	86067
Q01780	Q01780;Q01780-2	EXOSX_HUMAN	EXOSC10	Exosome component 10	276662
Q01804;Q01804-3;Q01804-5	Q01804;Q01804-5;Q01804-3	OTUD4_HUMAN	OTUD4	OTU domain-containing protein 4	36007
Q01813	Q01813;Q01813-2	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	410778
Q01814;Q01814-5;Q01814-6;Q01814-8	Q01814;Q01814-2;Q01814-3;Q01814-4;Q01814-5;Q01814-6;Q01814-7;Q01814-8	AT2B2_HUMAN	ATP2B2	Plasma membrane calcium-transporting ATPase 2	51198
Q01831;Q01831-2	Q01831;Q01831-2	XPC_HUMAN	XPC	DNA repair protein complementing XP-C cells	83665
Q01844;Q01844-2;Q01844-3;Q01844-5;Q01844-6	Q01844;Q01844-2;Q01844-3;Q01844-5;Q01844-6	EWS_HUMAN	EWSR1	RNA-binding protein EWS	1.01567e+06
Q01968;Q01968-2	Q01968;Q01968-2	OCRL_HUMAN	OCRL	Inositol polyphosphate 5-phosphatase OCRL	136441
Q01970	Q01970;Q01970-2	PLCB3_HUMAN	PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	567139
Q01995	Q01995	TAGL_HUMAN	TAGLN	Transgelin	343819
Q02040	Q02040	AK17A_HUMAN	AKAP17A	A-kinase anchor protein 17A	172885
Q02086;Q02086-2	Q02086;Q02086-2	SP2_HUMAN	SP2	Transcription factor Sp2	27216
Q02127	Q02127	PYRD_HUMAN	DHODH	Dihydroorotate dehydrogenase (quinone), mitochondrial	98814
Q02218;Q02218-2	Q02218;Q02218-2	ODO1_HUMAN	OGDH	2-oxoglutarate dehydrogenase, mitochondrial	613425
Q02224	Q02224;Q02224-3	CENPE_HUMAN	CENPE	Centromere-associated protein E	185441
Q02241	Q02241;Q02241-2;Q02241-3	KIF23_HUMAN	KIF23	Kinesin-like protein KIF23	140768
Q02252;Q02252-2	Q02252;Q02252-2	MMSA_HUMAN	ALDH6A1	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	188279
Q02338	Q02338	BDH_HUMAN	BDH1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	16084
Q02388;Q02388-2	Q02388;Q02388-2	CO7A1_HUMAN	COL7A1	Collagen alpha-1(VII) chain	312398
Q02447;Q02447-2;Q02447-5;Q02447-6	Q02447;Q02447-2;Q02447-5;Q02447-6	SP3_HUMAN	SP3	Transcription factor Sp3	20050
Q02543	Q02543	RL18A_HUMAN	RPL18A	60S ribosomal protein L18a	1.43719e+06
Q02750	Q02750;Q02750-2	MP2K1_HUMAN	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1	293534
Q02790	Q02790	FKBP4_HUMAN	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4	821614
Q02809;Q02809-2	Q02809;Q02809-2	PLOD1_HUMAN	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	413214
Q02818	Q02818	NUCB1_HUMAN	NUCB1	Nucleobindin-1	304747
Q02878	Q02878	RL6_HUMAN	RPL6	60S ribosomal protein L6	3.73807e+06
Q02880;Q02880-2	Q02880;Q02880-2	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta	685156
Q02930	Q02930	CREB5_HUMAN	CREB5	Cyclic AMP-responsive element-binding protein 5	202921
Q02952;Q02952-2;Q02952-3	Q02952;Q02952-2;Q02952-3	AKA12_HUMAN	AKAP12	A-kinase anchor protein 12	187949
Q02978	Q02978;Q02978-2	M2OM_HUMAN	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	436336
Q03001	Q03001;Q03001-8;Q03001-14	DYST_HUMAN	DST	Dystonin	1.38572e+06
Q03111	Q03111	ENL_HUMAN	MLLT1	Protein ENL	217779
Q03135	Q03135	CAV1_HUMAN	CAV1	Caveolin-1	4802
Q03154	Q03154;Q03154-2;Q03154-4	ACY1_HUMAN	ACY1	Aminoacylase-1	184735
Q03164;Q03164-2;Q03164-3	Q03164;Q03164-2;Q03164-3	KMT2A_HUMAN	KMT2A	Histone-lysine N-methyltransferase 2A	156236
Q03169	Q03169;Reverse_sp|Q03169|TNAP2_HUMAN	TNAP2_HUMAN	TNFAIP2	Tumor necrosis factor alpha-induced protein 2	88290
Q03188	Q03188;Q03188-2	CENPC_HUMAN	CENPC	Centromere protein C	981770
Q03252	Q03252	LMNB2_HUMAN	LMNB2	Lamin-B2	578875
Q03393	Q03393	PTPS_HUMAN	PTS	6-pyruvoyl tetrahydrobiopterin synthase	57270
Q03405	Q03405;Q03405-2	UPAR_HUMAN	PLAUR	Urokinase plasminogen activator surface receptor	103873
Q03426	Q03426	KIME_HUMAN	MVK	Mevalonate kinase	217047
Q03468	Q03468	ERCC6_HUMAN	ERCC6	DNA excision repair protein ERCC-6	2.20187e+06
Q03518	Q03518	TAP1_HUMAN	TAP1	Antigen peptide transporter 1	166479
Q03519	Q03519;Q03519-2	TAP2_HUMAN	TAP2	Antigen peptide transporter 2	80092
Q03519;Q9NRK6;Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5	Q9NRK6;Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5;Q03519	ABCBA_HUMAN;MITOS_HUMAN;TAP2_HUMAN	ABCB10;ABCB8;TAP2	Antigen peptide transporter 2	163886
Q03701	Q03701	CEBPZ_HUMAN	CEBPZ	CCAAT/enhancer-binding protein zeta	207399
Q03936;Q03936-3	Q03936;Q03936-2;Q03936-3	ZNF92_HUMAN	ZNF92	Zinc finger protein 92	127555
Q03938	Q03938	ZNF90_HUMAN	ZNF90	Zinc finger protein 90	399487
Q04206;Q04206-2;Q04206-3	Q04206;Q04206-2;Q04206-3;Q04206-4	TF65_HUMAN	RELA	Transcription factor p65	132023
Q04323	Q04323;Q04323-2	UBXN1_HUMAN	UBXN1	UBX domain-containing protein 1	477879
Q04446	Q04446	GLGB_HUMAN	GBE1	1,4-alpha-glucan-branching enzyme	393080
Q04637;Q04637-3;Q04637-4;Q04637-5;Q04637-9	Q04637;Q04637-3;Q04637-4;Q04637-5;Q04637-6;Q04637-7;Q04637-8;Q04637-9	IF4G1_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	842703
Q04656;Q04656-2;Q04656-3;Q04656-5	Q04656;Q04656-2;Q04656-3;Q04656-5	ATP7A_HUMAN	ATP7A	Copper-transporting ATPase 1	71597
Q04695	Q04695;contaminant_KERATIN12	K1C17_HUMAN	KRT17	Keratin, type I cytoskeletal 17	3.48288e+06
Q04721	Q04721	NOTC2_HUMAN	NOTCH2	Neurogenic locus notch homolog protein 2	53795
Q04724	Q04724	TLE1_HUMAN	TLE1	Transducin-like enhancer protein 1	22611
Q04724;Q04726	Q04726;Q04726-2;Q04726-3;Q04726-4;Q04726-5;Q04726-6;Q04726-7;Q04724;Q04725;Q04725-2;Q04727;Q04727-2;Q04727-3;Q04727-4	TLE1_HUMAN;TLE3_HUMAN	TLE1;TLE3	Transducin-like enhancer protein 1	121676
Q04726	Q04726;Q04726-2;Q04726-3;Q04726-4;Q04726-5;Q04726-6;Q04726-7	TLE3_HUMAN	TLE3	Transducin-like enhancer protein 3	135624
Q04759;Q04759-2;Q04759-3	Q04759;Q04759-2;Q04759-3	KPCT_HUMAN	PRKCQ	Protein kinase C theta type	150883
Q04760	Q04760;Q04760-2	LGUL_HUMAN	GLO1	Lactoylglutathione lyase	1.41784e+06
Q04837	Q04837	SSBP_HUMAN	SSBP1	Single-stranded DNA-binding protein, mitochondrial	933732
Q04864;Q04864-2	Q04864;Q04864-2	REL_HUMAN	REL	Proto-oncogene c-Rel	39369
Q04912;Q04912-2;Q04912-3;Q04912-4;Q04912-5;Q04912-6;Q04912-7	Q04912;Q04912-2;Q04912-3;Q04912-4;Q04912-5;Q04912-6;Q04912-7	RON_HUMAN	MST1R	Macrophage-stimulating protein receptor	46504
Q04917	Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta	857934
Q04941	Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	977884
Q05048	Q05048	CSTF1_HUMAN	CSTF1	Cleavage stimulation factor subunit 1	213494
Q05086;Q05086-2;Q05086-3	Q05086;Q05086-2;Q05086-3	UBE3A_HUMAN	UBE3A	Ubiquitin-protein ligase E3A	124331
Q05193;Q05193-2;Q05193-3;Q05193-5	Q05193;Q05193-2;Q05193-3;Q05193-5	DYN1_HUMAN	DNM1	Dynamin-1	271602
Q05193;Q05193-2;Q05193-3;Q05193-5;Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4;Q9UQ16-5	Q05193;Q05193-2;Q05193-3;Q05193-5;Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4;Q9UQ16-5	DYN1_HUMAN;DYN3_HUMAN	DNM1;DNM3	Dynamin-1	139863
Q05209	Q05209;Q05209-2;Q05209-3	PTN12_HUMAN	PTPN12	Tyrosine-protein phosphatase non-receptor type 12	450251
Q05397;Q05397-5;Q05397-7	Q05397;Q05397-2;Q05397-3;Q05397-4;Q05397-5;Q05397-7	FAK1_HUMAN	PTK2	Focal adhesion kinase 1	84476
Q05519;Q05519-2	Q05519;Q05519-2	SRS11_HUMAN	SRSF11	Serine/arginine-rich splicing factor 11	412256
Q05639	Q05639	EF1A2_HUMAN	EEF1A2	Elongation factor 1-alpha 2	6.95404e+06
Q05655	Q05655;Q05655-2	KPCD_HUMAN	PRKCD	Protein kinase C delta type	66913
Q05682	Q05682;Q05682-2;Q05682-3;Q05682-4;Q05682-5;Q05682-6	CALD1_HUMAN	CALD1	Caldesmon	545342
Q05823;Q05823-2	Q05823;Q05823-2	RN5A_HUMAN	RNASEL	2-5A-dependent ribonuclease	8196
Q05932;Q05932-2;Q05932-3;Q05932-4	Q05932;Q05932-2;Q05932-3;Q05932-4	FOLC_HUMAN	FPGS	Folylpolyglutamate synthase, mitochondrial	34280
Q05BV3;Q05BV3-5	Q05BV3;Q05BV3-2;Q05BV3-4;Q05BV3-5	EMAL5_HUMAN	EML5	Echinoderm microtubule-associated protein-like 5	106756
Q05D32	Q05D32;Q05D32-2	CTSL2_HUMAN	CTDSPL2	CTD small phosphatase-like protein 2	89361
Q06033;Q06033-2	Q06033;Q06033-2	ITIH3_HUMAN	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3	1.48268e+06
Q06124;Q06124-1	Q06124;Q06124-1;Q06124-3	PTN11_HUMAN	PTPN11	Tyrosine-protein phosphatase non-receptor type 11	259715
Q06136	Q06136;Q06136-2	KDSR_HUMAN	KDSR	3-ketodihydrosphingosine reductase	214522
Q06187;Q06187-2	Q06187;Q06187-2	BTK_HUMAN	BTK	Tyrosine-protein kinase BTK	10570
Q06190	Q06190	P2R3A_HUMAN	PPP2R3A	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha	69490
Q06203	Q06203	PUR1_HUMAN	PPAT	Amidophosphoribosyltransferase	302589
Q06210;Q06210-2	Q06210;Q06210-2	GFPT1_HUMAN	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	380696
Q06265;Q06265-2	Q06265;Q06265-2;Q06265-3;Q06265-4	EXOS9_HUMAN	EXOSC9	Exosome complex component RRP45	147566
Q06323	Q06323;Q06323-2;Q06323-3	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1	777350
Q06330;Q06330-4;Q06330-5;Q06330-6;Q06330-7	Q06330;Q06330-2;Q06330-3;Q06330-4;Q06330-5;Q06330-6;Q06330-7	SUH_HUMAN	RBPJ	Recombining binding protein suppressor of hairless	57452
Q06413;Q06413-2;Q06413-3;Q06413-4;Q06413-5;Q06413-6	Q06413;Q06413-2;Q06413-3;Q06413-4;Q06413-5;Q06413-6	MEF2C_HUMAN	MEF2C	Myocyte-specific enhancer factor 2C	112564
Q06413;Q06413-2;Q06413-3;Q06413-4;Q06413-5;Q06413-6;Q14814;Q14814-4	Q02078;Q02078-2;Q02078-3;Q02078-4;Q02078-5;Q02078-6;Q06413;Q06413-2;Q06413-3;Q06413-4;Q06413-5;Q06413-6;Q14814;Q14814-2;Q14814-3;Q14814-4;Q14814-5;Q14814-6	MEF2C_HUMAN;MEF2D_HUMAN	MEF2C;MEF2D	Myocyte-specific enhancer factor 2C	32360
