Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9BYP7;Q9BYP7-2;Q9BYP7-3;Q9BYP7-4	Q9BYP7;Q9BYP7-2;Q9BYP7-3;Q9BYP7-4	WNK3_HUMAN	WNK3	Serine/threonine-protein kinase WNK3	214434
Q9BYP7;Q9BYP7-2;Q9BYP7-3;Q9BYP7-4;Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	Q9BYP7;Q9BYP7-2;Q9BYP7-3;Q9BYP7-4;Q9Y3S1;Q9Y3S1-2;Q9Y3S1-3;Q9Y3S1-4;Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7	WNK1_HUMAN;WNK3_HUMAN	WNK1;WNK3	Serine/threonine-protein kinase WNK3	1.42617e+06
Q9BYT8	Q9BYT8	NEUL_HUMAN	NLN	Neurolysin, mitochondrial	343141
Q9BYU1	Q9BYU1	PBX4_HUMAN	PBX4	Pre-B-cell leukemia transcription factor 4	51847
Q9BYV8;Q9BYV8-2;Q9BYV8-5	Q9BYV8;Q9BYV8-2;Q9BYV8-5	CEP41_HUMAN	CEP41	Centrosomal protein of 41 kDa	105646
Q9BYW2	Q9BYW2;Q9BYW2-2;Q9BYW2-3	SETD2_HUMAN	SETD2	Histone-lysine N-methyltransferase SETD2	79471
Q9BYX2;Q9BYX2-2	Q9BYX2;Q9BYX2-2;Q9BYX2-3;Q9BYX2-4;Q9BYX2-5;Q9BYX2-6	TBD2A_HUMAN	TBC1D2	TBC1 domain family member 2A	89516
Q9BYZ2	Q9BYZ2	LDH6B_HUMAN	LDHAL6B	L-lactate dehydrogenase A-like 6B	22659
Q9BZ23;Q9BZ23-3;Q9BZ23-4	Q9BZ23;Q9BZ23-3;Q9BZ23-4;Q9H999	PANK2_HUMAN	PANK2	Pantothenate kinase 2, mitochondrial	38666
Q9BZ29;Q9BZ29-3;Q9BZ29-4;Q9BZ29-5	Q9BZ29;Q9BZ29-5;Q9BZ29-3;Q9BZ29-4	DOCK9_HUMAN	DOCK9	Dedicator of cytokinesis protein 9	241846
Q9BZ67;Q9BZ67-2;Q9BZ67-3	Q9BZ67;Q9BZ67-2;Q9BZ67-3	FRMD8_HUMAN	FRMD8	FERM domain-containing protein 8	55090
Q9BZ95;Q9BZ95-2;Q9BZ95-4;Q9BZ95-5	Q9BZ95;Q9BZ95-2;Q9BZ95-3;Q9BZ95-4;Q9BZ95-5	NSD3_HUMAN	NSD3	Histone-lysine N-methyltransferase NSD3	180786
Q9BZC7;Q9BZC7-2;Q9BZC7-3	Q9BZC7;Q9BZC7-2;Q9BZC7-3	ABCA2_HUMAN	ABCA2	ATP-binding cassette sub-family A member 2	29799
Q9BZE1	Q9BZE1	RM37_HUMAN	MRPL37	39S ribosomal protein L37, mitochondrial	256727
Q9BZE2	Q9BZE2	PUS3_HUMAN	PUS3	tRNA pseudouridine(38/39) synthase	33034
Q9BZE4	Q9BZE4;Q9BZE4-2;Q9BZE4-3	NOG1_HUMAN	GTPBP4	Nucleolar GTP-binding protein 1	459389
Q9BZE9;Q9BZE9-2;Q9BZE9-3	Q9BZE9;Q9BZE9-2;Q9BZE9-3	ASPC1_HUMAN	ASPSCR1	Tether containing UBX domain for GLUT4	36144
Q9BZF1	Q9BZF1;Q9BZF1-2;Q9BZF1-3	OSBL8_HUMAN	OSBPL8	Oxysterol-binding protein-related protein 8	392281
